Model,Year,Miles,Location,Prices,Link,Scraped_On
 Toyota camry LE Sedan 4D,2010,144K miles,"Waterbury, CT","$4,999",https://www.facebook.com//marketplace/item/2555498567990343/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Volkswagen jetta 2.0T GLI Sedan 4D,2012,196K miles,"Rocky Hill, CT","$4,700",https://www.facebook.com//marketplace/item/920325713179579/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Audi a6 3.2 Quattro Sedan 4D,2007,79K miles,"Farmington, CT","$5,500",https://www.facebook.com//marketplace/item/1148714382943228/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan rogue 1owner clean title,2013,91K miles,"Meriden, CT","$6,400",https://www.facebook.com//marketplace/item/398522815953302/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda accord EX Sedan 4D,2008,135K miles,"Hartford, CT","$5,500",https://www.facebook.com//marketplace/item/807291217799960/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda accord EX Sedan 4D,2012,151K miles,"Middletown, CT","$6,000",https://www.facebook.com//marketplace/item/980080946652895/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Subaru outback 2.5i Premium Wagon 4D,2011,100K miles,"Berlin, CT","$4,800",https://www.facebook.com//marketplace/item/3702620056650342/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Acura ilx 2.0L Sedan 4D,2013,138K miles,"Westfield, MA","$7,000",https://www.facebook.com//marketplace/item/373738092483465/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Infiniti jx35,2013,105K miles,"Bloomfield, CT","$5,900",https://www.facebook.com//marketplace/item/998022908362961/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry LE Sedan 4D,2007,117K miles,"East Hartford, CT","$3,900",https://www.facebook.com//marketplace/item/792580519704807/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Volkswagen jetta 1.8T SE Sedan 4D,2014,160K miles,"New Britain, CT","$4,800",https://www.facebook.com//marketplace/item/971926087919327/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Chevrolet cruze limited LTZ Sedan 4D,2016,103K miles,"Coventry, CT","$5,500",https://www.facebook.com//marketplace/item/975496190801840/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota rav4 Sport Utility 4D,2004,50K miles,"Newington, CT","$6,800",https://www.facebook.com//marketplace/item/780519677615758/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai accent GLS Sedan 4D,2011,116K miles,"Hartford, CT","$3,000",https://www.facebook.com//marketplace/item/3836161593374279/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota venza XLE Wagon 4D,2013,132K miles,"West Hartford, CT","$9,200",https://www.facebook.com//marketplace/item/961832249017087/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Chevrolet cruze 1LT Sedan 4D,2015,113K miles,"Wolcott, CT","$5,800",https://www.facebook.com//marketplace/item/1460073137955657/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda accord EX-L Coupe 2D,2010,179K miles,"Windsor, CT","$5,900",https://www.facebook.com//marketplace/item/855440413128933/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Ford explorer XLT Sport Utility 4D,2014,87K miles,"East Hartford, CT","$8,700",https://www.facebook.com//marketplace/item/7648672045254046/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai elantra GLS Sedan 4D,2013,155K miles,"Meriden, CT","$2,900",https://www.facebook.com//marketplace/item/1538043750429279/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota solara,2007,105K miles,"Wethersfield, CT","$7,000",https://www.facebook.com//marketplace/item/886557126833637/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
