Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai elantra Limited Sedan 4D,2020,142K miles,"Cincinnati, OH","$7,900",https://www.facebook.com//marketplace/item/1594730094627868/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra SE Sedan 4D,2017,87K miles,"Cincinnati, OH","$3,200",https://www.facebook.com//marketplace/item/344269098664012/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Mitsubishi mirage g4 ES Sedan 4D,2017,113K miles,"Cincinnati, OH","$3,900",https://www.facebook.com//marketplace/item/475470058372275/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia forte LXS Sedan 4D,2019,130K miles,"Covington, KY","$8,900",https://www.facebook.com//marketplace/item/1711761629228568/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Nissan versa SV Sedan 4D,2015,143K miles,"Cincinnati, OH","$3,500",https://www.facebook.com//marketplace/item/7877960178918192/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Mazda mazda6,2012,173K miles,"Cincinnati, OH","$3,600",https://www.facebook.com//marketplace/item/1208070930196057/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra GLS Sedan 4D,2013,158K miles,"Xenia, OH","$3,850",https://www.facebook.com//marketplace/item/978539160468761/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Ford fiesta SE Sedan 4D,2012,135K miles,"Cincinnati, OH","$4,500",https://www.facebook.com//marketplace/item/998741315233459/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia rio EX Sedan 4D,2015,143K miles,"Covington, KY","$3,500",https://www.facebook.com//marketplace/item/2231822847166680/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai sonata GLS Sedan 4D,2013,188K miles,"Newport, KY","$3,950",https://www.facebook.com//marketplace/item/765663485462008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Mazda mazda6 Touring,2014,103K miles,"Cincinnati, OH","$9,000",https://www.facebook.com//marketplace/item/1886928771721324/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Nissan sentra S Sedan 4D,2016,144K miles,"Dayton, KY","$5,000",https://www.facebook.com//marketplace/item/414305724721205/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai sonata SE Sedan 4D,2016,90K miles,"Cincinnati, OH","$7,500",https://www.facebook.com//marketplace/item/473367221684184/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Chevrolet cruze LT Sedan 4D,2018,82K miles,"Lebanon, OH","$6,499",https://www.facebook.com//marketplace/item/503328855381002/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai tucson GLS Sport Utility 4D,2012,135K miles,"Springboro, OH","$4,650",https://www.facebook.com//marketplace/item/1187994982340771/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Honda civic LX Sedan 4D,2010,142K miles,"Cincinnati, OH","$5,425",https://www.facebook.com//marketplace/item/1016313170126431/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota yaris Hatchback 4D,2010,131K miles,"Oxford, OH","$4,650",https://www.facebook.com//marketplace/item/1467945560750017/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Volkswagen golf sportwagen TSI S Wagon 4D,2015,124K miles,"Cincinnati, OH",$1,https://www.facebook.com//marketplace/item/1509142776696300/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Ford focus SE Hatchback 4D,2016,105K miles,"Hamilton, OH","$5,500",https://www.facebook.com//marketplace/item/3618074858458129/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Mazda mazda3 i Sport Sedan 4D,2013,156K miles,"Cincinnati, OH","$3,999",https://www.facebook.com//marketplace/item/3800705396881678/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Ford focus SE Sedan 4D,2014,105K miles,"Cincinnati, OH","$4,800",https://www.facebook.com//marketplace/item/1041238664387323/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia optima LX Sedan 4D,2009,147K miles,"Morrow, OH","$2,500",https://www.facebook.com//marketplace/item/1415852092437894/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota matrix S Sport Wagon 4D,2010,170K miles,"Springfield, OH","$3,500",https://www.facebook.com//marketplace/item/1010997743753129/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia optima EX Sedan 4D,2012,174K miles,"Alexandria, KY","$3,500",https://www.facebook.com//marketplace/item/453783820776170/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia optima SX Sedan 4D,2012,141K miles,"Cincinnati, OH","$5,999",https://www.facebook.com//marketplace/item/1537841120477194/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
