Model,Year,Miles,Location,Prices,Link,Scraped_On
 Nissan rogue,2015,129K miles · Dealership,"Lafayette, IN","$7,900",https://www.facebook.com//marketplace/item/988512126119347/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet Aveo5 LT Hatchback Sedan 4D,2010,60K miles,"West Lafayette, IN","$7,999",https://www.facebook.com//marketplace/item/388058690952611/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet malibu LT Sedan 4D,2018,88K miles,"Goshen, IN","$11,000",https://www.facebook.com//marketplace/item/279310181935650/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima 2.5 Sedan 4D,2012,231K miles,"Lafayette, IN","$3,200",https://www.facebook.com//marketplace/item/458861016842510/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia optima,2019,55K miles,"Lafayette, IN",$459,https://www.facebook.com//marketplace/item/388303140890402/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Dodge dart sxt fwd,2016,86K miles,"Frankfort, IN","$9,680",https://www.facebook.com//marketplace/item/1197606258038794/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Mazda cx-9 Touring Sport Utility 4D,2012,153K miles,"West Lafayette, IN","$5,900",https://www.facebook.com//marketplace/item/1123796328723266/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia optima,2020,73K miles,"West Lafayette, IN","$14,900",https://www.facebook.com//marketplace/item/876016794560444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Jeep compass Sport SUV 4D,2018,87K miles · Dealership,"Lafayette, IN","$11,900",https://www.facebook.com//marketplace/item/1589361074970179/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda civic,2015,150K miles,"Frankfort, IN","$8,000",https://www.facebook.com//marketplace/item/329933116771353/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Jeep cherokee Limited Sport Utility 4D,2014,180K miles,"Crawfordsville, IN","$4,750",https://www.facebook.com//marketplace/item/775494278085399/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan rogue S Sport Utility 4D,2015,80K miles · Dealership,"Lafayette, IN","$8,900",https://www.facebook.com//marketplace/item/1567613503972040/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda civic Si Sedan 4D,2013,130K miles,"Lafayette, IN","$12,500",https://www.facebook.com//marketplace/item/1500155584230014/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda accord Sport Sedan 4D,2018,80K miles · Dealership,"Lafayette, IN","$17,900",https://www.facebook.com//marketplace/item/1661652911330451/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia rio LX Sedan 4D,2013,155K miles,"Warsaw, IN","$3,000",https://www.facebook.com//marketplace/item/451450717819609/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima $1000 down,2016,77K miles,"Lafayette, IN","$1,000",https://www.facebook.com//marketplace/item/1748918542273340/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Buick Encore,2019,61K miles,"Lafayette, IN","$10,900",https://www.facebook.com//marketplace/item/480681317990598/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia optima sx turbo,2015,114K miles,"Logansport, IN","$9,995",https://www.facebook.com//marketplace/item/1717348535689188/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet cruze limited,2016,123K miles,"West Lafayette, IN","$7,500",https://www.facebook.com//marketplace/item/1114152563021343/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Ford sedan fwd sel,2020,39K miles,"Lafayette, IN",$520,https://www.facebook.com//marketplace/item/319978154402175/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Dodge charger SXT Sedan 4D,2015,89K miles,"Logansport, IN","$13,900",https://www.facebook.com//marketplace/item/1499227074302560/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Ford fusion hybrid 4d sedan fwd s,2020,78K miles,"Lafayette, IN",$460,https://www.facebook.com//marketplace/item/991758112256829/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan maxima full loaded S,2017,131K miles · Dealership,"Lafayette, IN","$11,900",https://www.facebook.com//marketplace/item/1131836604801748/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai tucson,2017,127K miles,"West Lafayette, IN","$11,500",https://www.facebook.com//marketplace/item/1169111551064328/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Mazda mazda6 4 Cylinders,2011,161K miles,"Indianapolis, IN","$3,500",https://www.facebook.com//marketplace/item/1184028682735865/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet trax,2020,77K miles,"Lafayette, IN",$399,https://www.facebook.com//marketplace/item/1248109996167120/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia rio EX Sedan 4D,2013,149K miles,"Van Buren, IN","$3,000",https://www.facebook.com//marketplace/item/358851846966459/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai sonata,2014,97K miles,"Lafayette, IN","$1,000",https://www.facebook.com//marketplace/item/3979920952288007/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet malibu limited LT Sedan 4D,2016,85K miles · Dealership,"Lafayette, IN","$10,900",https://www.facebook.com//marketplace/item/1422523935300968/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet malibu LT Sedan 4D,2016,155K miles,"Tilton, IL","$6,500",https://www.facebook.com//marketplace/item/3734279350176173/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet trax,2016,Dealership,"Lafayette, IN","$8,900",https://www.facebook.com//marketplace/item/441430311911304/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
