Model,Year,Miles,Location,Prices,Link,Scraped_On
 Honda civic LX Sedan 4D,2012,104K miles · Dealership,"West Chester, OH","$7,500",https://www.facebook.com//marketplace/item/978867087312541/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2009,300 miles,"West Chester, OH","$6,600",https://www.facebook.com//marketplace/item/3875803016035805/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda civic Sport Sedan 4D,2020,86K miles,"Milford, OH","$7,900",https://www.facebook.com//marketplace/item/456832023947846/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Volkswagen golf sportwagen TSI S Wagon 4D,2015,124K miles,"Cincinnati, OH",$1,https://www.facebook.com//marketplace/item/1509142776696300/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda civic LX Sedan 4D,2015,175K miles,"West Chester, OH","$6,885",https://www.facebook.com//marketplace/item/427024283255883/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota corolla S Sedan 4D,2016,68K miles,"Monroe, OH","$9,499",https://www.facebook.com//marketplace/item/839001347723641/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai sonata GLS Sedan 4D,2014,145K miles,"Cincinnati, OH","$5,200",https://www.facebook.com//marketplace/item/1188259665661224/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda accord EX Coupe 2D,2008,133K miles,"Cincinnati, OH","$4,300",https://www.facebook.com//marketplace/item/983945826853713/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai sonata,2016,124K miles,"West Chester, OH","$6,400",https://www.facebook.com//marketplace/item/1035460081254688/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2006,71K miles,"Monroe, OH","$6,399",https://www.facebook.com//marketplace/item/455906420732721/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
