Model,Year,Miles,Location,Prices,Link,Scraped_On
 Mazda mazda3,2008,175K miles,"Cincinnati, OH","$1,500",https://www.facebook.com//marketplace/item/1207291907370462/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Cadillac cts Sedan 4D,2004,101K miles,"Cincinnati, OH","$3,999",https://www.facebook.com//marketplace/item/1015702226269598/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mazda mazda3,2008,129K miles,"Walton, KY","$4,000",https://www.facebook.com//marketplace/item/987838426409230/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Ford focus SEL Sedan 4D,2018,162K miles,"Fairfield, OH","$4,900",https://www.facebook.com//marketplace/item/3627165487533888/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota camry Sedan 4D,2008,144K miles,"Fairfield, OH","$2,200",https://www.facebook.com//marketplace/item/848335794028768/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Tesla model 3 Long Range Sedan 4D,2021,55K miles,"Cincinnati, OH","$28,000",https://www.facebook.com//marketplace/item/1167910201029662/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord,2005,191K miles,"Cincinnati, OH","$2,500",https://www.facebook.com//marketplace/item/1942226469532432/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Ford fusion SE Hybrid Sedan 4D,2017,120K miles,"Cincinnati, OH","$8,900",https://www.facebook.com//marketplace/item/275894972252893/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda crosstour EX-L Sport Utility 4D,2012,150K miles,"Cincinnati, OH","$7,500",https://www.facebook.com//marketplace/item/460770849979982/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mitsubishi lancer ES Sedan 4D,2010,171K miles,"Cincinnati, OH","$5,500",https://www.facebook.com//marketplace/item/489791910189135/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Volkswagen jetta TDI SportWagen Sport Wagon 4D,2011,120K miles,"Fort Mitchell, KY","$5,800",https://www.facebook.com//marketplace/item/2463264123873483/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
