Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai sonata SE Sedan 4D,2016,90K miles,"Cincinnati, OH","$7,500",https://www.facebook.com//marketplace/item/473367221684184/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra Limited Sedan 4D,2013,123K miles,"Cincinnati, OH","$4,290",https://www.facebook.com//marketplace/item/1021188729641984/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 S,2012,155K miles,"Cincinnati, OH","$5,500",https://www.facebook.com//marketplace/item/800082792267641/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry LE Sedan 4D,2010,160K miles,"Cincinnati, OH","$5,000",https://www.facebook.com//marketplace/item/1332715654783469/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry LE Sedan 4D,2007,131K miles,"Covington, KY","$5,800",https://www.facebook.com//marketplace/item/1156734128806114/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra Limited Sedan 4D,2013,153K miles,"Cincinnati, OH","$4,995",https://www.facebook.com//marketplace/item/447055291463004/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Chevrolet cruze LS Sedan 4D,2017,112K miles,"Cincinnati, OH","$9,000",https://www.facebook.com//marketplace/item/1888695571642448/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan maxima SR (2017.5) Sedan 4D,2017,87K miles,"Cincinnati, OH","$9,800",https://www.facebook.com//marketplace/item/7743256115761564/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry SE Sedan 4D,2022,69K miles,"Florence, KY","$21,500",https://www.facebook.com//marketplace/item/490857040098511/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Volkswagen golf sportwagen TSI S Wagon 4D,2015,124K miles,"Cincinnati, OH",$1,https://www.facebook.com//marketplace/item/1509142776696300/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Volkswagen passat Wolfsburg Edition Sedan 4D,2013,112K miles,"Cincinnati, OH","$3,495",https://www.facebook.com//marketplace/item/787773486816258/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry LE Sedan 4D,2010,190K miles,"Fairfield, OH","$3,999",https://www.facebook.com//marketplace/item/1221885022128450/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
