Model,Year,Miles,Location,Prices,Link,Scraped_On
 Ford focus Titanium Hatchback 4D,2016,110K miles,"Chicago, IL","$5,550",https://www.facebook.com//marketplace/item/1157835872130688/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord Sport Sedan 4D,2016,80K miles,"Chicago, IL","$13,000",https://www.facebook.com//marketplace/item/1132302278170927/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry Hybrid Sedan 4D,2009,192K miles · Dealership,"Downers Grove, IL","$5,995",https://www.facebook.com//marketplace/item/8090331217679852/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Ford coupe Convertible,2007,108K miles,"Morton Grove, IL","$4,700",https://www.facebook.com//marketplace/item/829840472449601/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda civic LX Sedan 4D,2008,124K miles,"Chicago, IL","$3,500",https://www.facebook.com//marketplace/item/3565092750303455/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord EX Sedan 4D,2001,118K miles,"Chicago, IL","$3,500",https://www.facebook.com//marketplace/item/1174644720448347/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai elantra 4dr sedan automatic se,2015,65K miles,"Burbank, IL","$12,985",https://www.facebook.com//marketplace/item/430618202996987/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Mazda mazda6 i Sedan 4D,2004,225K miles,"Chicago, IL","$3,000",https://www.facebook.com//marketplace/item/456719750485997/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Mazda cx-5 Touring Sport Utility 4D,2013,140K miles,"Elmhurst, IL","$9,995",https://www.facebook.com//marketplace/item/790540076237023/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Kia optima LX Sedan 4D,2009,142K miles,"Chicago, IL","$2,800",https://www.facebook.com//marketplace/item/1158992908694866/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota corolla Senda,2007,133K miles,"Chicago, IL","$2,100",https://www.facebook.com//marketplace/item/1016999576655640/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Subaru legacy 2.5 awd all pwr heat cold ac no rust runs great!!!,2012,121K miles,"Chicago, IL","$4,535",https://www.facebook.com//marketplace/item/1283987795904878/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota corolla LE Sedan 4D,2020,68K miles,"Chicago, IL","$19,000",https://www.facebook.com//marketplace/item/440998082009780/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord LX Sedan 4D,2010,140K miles,"Chicago, IL","$4,600",https://www.facebook.com//marketplace/item/1139000050488182/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda civic EX Sedan 4D,2015,68K miles,"Chicago, IL","$8,500",https://www.facebook.com//marketplace/item/430434923297593/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sport Sedan 4D,2014,160K miles,"Chicago, IL","$8,300",https://www.facebook.com//marketplace/item/2239687666383425/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Lexus ES 350 Sedan 4D,2011,88K miles,"Chicago, IL","$10,500",https://www.facebook.com//marketplace/item/796468862276183/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota avalon,2008,152K miles,"Chicago, IL","$4,500",https://www.facebook.com//marketplace/item/1695468094585758/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Audi a6 3.0T Premium Plus Sedan 4D,2014,166K miles,"Chicago, IL","$7,200",https://www.facebook.com//marketplace/item/333718726341344/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai sonata Sedan 4D,2004,123K miles,"Chicago, IL","$2,500",https://www.facebook.com//marketplace/item/1243019477061641/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Volkswagen passat Komfort Sedan 4D,2009,140K miles,"Oak Forest, IL","$2,800",https://www.facebook.com//marketplace/item/1202254327628638/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda civic EX Hatchback 4D,2017,90K miles,"Hammond, IN","$12,500",https://www.facebook.com//marketplace/item/296245003483446/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Lexus LS 460 Sedan 4D,2007,151K miles,"Harwood Heights, IL","$5,500",https://www.facebook.com//marketplace/item/995400849037887/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota yaris Sedan 4D,2007,178K miles,"Chicago, IL","$3,000",https://www.facebook.com//marketplace/item/2559828670880403/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Mazda mazda3 Select Sedan 4D,2020,47K miles,"Chicago, IL","$16,500",https://www.facebook.com//marketplace/item/1429099997792678/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Audi a4 2.0T Avant Quattro Premium Wagon 4D,2011,115K miles,"Chicago, IL","$7,200",https://www.facebook.com//marketplace/item/449010581359948/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota prius,2007,23K miles,"Chicago, IL","$2,500",https://www.facebook.com//marketplace/item/804605948444224/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Nissan sentra S Sedan 4D,2013,95K miles,"Palos Hills, IL","$2,900",https://www.facebook.com//marketplace/item/1029361195202756/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Nissan altima 2.5 S Sedan 4D,2014,116K miles,"Chicago, IL","$3,000",https://www.facebook.com//marketplace/item/413105491047416/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2007,250K miles,"Chicago, IL","$3,500",https://www.facebook.com//marketplace/item/1136393200977873/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Buick verano Premium Sedan 4D,2013,129K miles,"Chicago, IL","$4,994",https://www.facebook.com//marketplace/item/3958919777724019/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota prius Five Hatchback 4D,2013,153K miles,"Chicago, IL","$8,500",https://www.facebook.com//marketplace/item/1965966403834988/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Chevrolet malibu LT Sedan 4D,2013,95K miles,"Chicago, IL","$3,645",https://www.facebook.com//marketplace/item/2214738392068940/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2013,89K miles,"Chicago, IL","$7,800",https://www.facebook.com//marketplace/item/1210891683401299/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Nissan altima 2.5 S Sedan 4D,2009,123K miles,"Calumet City, IL","$2,400",https://www.facebook.com//marketplace/item/334741519687306/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Ford transit connect cargo XLT Van 4D,2015,68K miles,"Chicago, IL","$8,900",https://www.facebook.com//marketplace/item/854493046531273/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2012,86K miles,"Chicago, IL","$7,500",https://www.facebook.com//marketplace/item/274673542357289/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord 2.0T Sport,2018,86K miles,"Chicago, IL","$21,000",https://www.facebook.com//marketplace/item/1002296334739253/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda civic LX Sedan 4D,2017,53K miles,"Forest Park, IL","$11,000",https://www.facebook.com//marketplace/item/345738138378901/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry Hybrid Sedan 4D,2011,232K miles,"Des Plaines, IL","$5,700",https://www.facebook.com//marketplace/item/512893081139876/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 2.5,2009,157K miles,"Chicago, IL","$2,700",https://www.facebook.com//marketplace/item/1022993896112534/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota prius Hybrid,2010,123K miles,"Northbrook, IL","$8,500",https://www.facebook.com//marketplace/item/2407882299401800/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Volkswagen golf sportwagen TDI S Wagon 4D,2015,102K miles,"Bartlett, IL","$11,500",https://www.facebook.com//marketplace/item/1146408543291331/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
