Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai sonata Limited Sedan 4D,2011,147K miles,"Cincinnati, OH","$4,200",https://www.facebook.com//marketplace/item/886377869952539/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Kia sorento LX Sport Utility 4D,2015,87K miles,"Milford, OH","$6,500",https://www.facebook.com//marketplace/item/1053793789410008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry,2009,156K miles,"West Chester, OH","$6,000",https://www.facebook.com//marketplace/item/368257603036181/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry XLE Sedan 4D,2004,72K miles,"Middletown, OH","$4,900",https://www.facebook.com//marketplace/item/824151612949920/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan sentra S Sedan 4D,2016,144K miles,"Dayton, KY","$5,000",https://www.facebook.com//marketplace/item/414305724721205/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda accord LX Sedan 4D,2016,118K miles,"Fairfield, OH","$10,500",https://www.facebook.com//marketplace/item/811474800961725/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan versa SV Sedan 4D,2016,100K miles,"Cincinnati, OH","$5,299",https://www.facebook.com//marketplace/item/3727192824269656/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry Hybrid Sedan 4D,2011,160K miles,"Mason, OH","$6,200",https://www.facebook.com//marketplace/item/493745366536215/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Kia optima SX Turbo Sedan 4D,2014,82K miles,"Independence, KY","$8,500",https://www.facebook.com//marketplace/item/1222766115577711/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Subaru impreza 2.0i Sedan 4D,2014,157K miles,"West Chester, OH","$5,500",https://www.facebook.com//marketplace/item/2789741014517570/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Chevrolet malibu L Sedan 4D,2017,140K miles,"West Chester, OH","$5,800",https://www.facebook.com//marketplace/item/489069823481508/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai elantra GLS Sedan 4D,2013,140K miles,"Cincinnati, OH","$3,750",https://www.facebook.com//marketplace/item/1837986216710041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Chevrolet sonic LT Sedan 4D,2015,88K miles,"Middletown, OH","$4,950",https://www.facebook.com//marketplace/item/1302406920719889/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Kia forte EX Sedan 4D,2014,142K miles,"Cincinnati, OH","$4,900",https://www.facebook.com//marketplace/item/492829293412340/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai Sonata,2017,126K miles,"Xenia, OH","$4,200",https://www.facebook.com//marketplace/item/397100783324689/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Kia cadenza Limited Sedan 4D,2016,87K miles,"Independence, KY","$8,000",https://www.facebook.com//marketplace/item/855315443322743/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda accord,2012,100K miles,"Lebanon, OH","$8,450",https://www.facebook.com//marketplace/item/495855292967178/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda accord LX Sedan 4D,2013,100K miles,"Monroe, OH","$9,600",https://www.facebook.com//marketplace/item/344532005119473/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan versa SV Sedan 4D,2015,143K miles,"Cincinnati, OH","$3,950",https://www.facebook.com//marketplace/item/7877960178918192/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Volkswagen jetta 2.0L Base Sedan 4D,2014,133K miles,"Loveland, OH","$5,000",https://www.facebook.com//marketplace/item/3754683788102127/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry Sedan 4D,2009,180K miles,"Mason, OH","$3,500",https://www.facebook.com//marketplace/item/3227630607369495/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda accord LX Sedan 4D,2008,181K miles,"West Chester, OH","$4,900",https://www.facebook.com//marketplace/item/997876645459559/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan leaf SV Hatchback 4D,2015,71K miles,"Maineville, OH","$5,200",https://www.facebook.com//marketplace/item/829677799063551/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Volkswagen jetta 2.5L SE Sedan 4D,2013,174K miles,"Cincinnati, OH","$4,500",https://www.facebook.com//marketplace/item/3872106576361077/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda accord LX Sedan 4D,2013,141K miles,"Dayton, OH","$6,999",https://www.facebook.com//marketplace/item/805752524875679/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Volkswagen golf sportwagen TSI S Wagon 4D,2015,124K miles,"Cincinnati, OH",$1,https://www.facebook.com//marketplace/item/1509142776696300/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry LE Sedan 4D,2009,224K miles,"West Chester, OH","$5,000",https://www.facebook.com//marketplace/item/431761186363743/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda civic,2007,109K miles,"Lebanon, OH","$6,450",https://www.facebook.com//marketplace/item/1540720726821886/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota corolla,2014,129K miles,"Covington, KY","$8,900",https://www.facebook.com//marketplace/item/1204754680569568/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Mazda 6 i touring,2011,134K miles,"Covington, KY","$5,900",https://www.facebook.com//marketplace/item/495894276433135/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda cr-v EX-L Sport Utility 4D,2015,121K miles · Dealership,"West Chester, OH","$12,500",https://www.facebook.com//marketplace/item/387194217219671/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Mazda,2012,157K miles,"Goshen, OH","$4,795",https://www.facebook.com//marketplace/item/1161507351754592/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Ford focus se one owner 95k,2013,95K miles,"Middletown, OH","$5,500",https://www.facebook.com//marketplace/item/993951839069622/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Chevrolet cruze LS Sedan 4D,2014,165K miles,"Milford, OH","$5,000",https://www.facebook.com//marketplace/item/1023550069407665/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Volkswagen jetta 1.8T Sport Sedan 4D,2015,138K miles,"Fort Mitchell, KY","$4,500",https://www.facebook.com//marketplace/item/994449105386934/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Chevrolet sonic LS Sedan 4D,2015,88K miles,"Middletown, OH","$4,950",https://www.facebook.com//marketplace/item/795247642393382/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan versa,2018,133K miles,"Miamisburg, OH","$8,000",https://www.facebook.com//marketplace/item/494839426536682/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda cr-v EX-L Sport Utility 4D,2014,105K miles · Dealership,"West Chester, OH","$11,500",https://www.facebook.com//marketplace/item/3549629811915907/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Ford c-max hybrid SE Wagon 4D,2015,14K miles,"Cincinnati, OH","$14,500",https://www.facebook.com//marketplace/item/1551920835366380/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota solara Sport Convertible 2D,2008,136K miles,"Lebanon, OH","$7,900",https://www.facebook.com//marketplace/item/1001501088168166/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Ford fiesta SE Hatchback 4D,2011,121K miles,"Cincinnati, OH","$3,000",https://www.facebook.com//marketplace/item/432315483108900/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 BMW 3 series 320i Sedan 4D,2014,123K miles,"Harrison, OH","$8,500",https://www.facebook.com//marketplace/item/2994749840668262/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
