Model,Location,Miles,Prices,Link,Year,Scraped_On
 Chevrolet malibu LT Sedan 4D,"Goshen, IN",88K miles,"$11,000",/marketplace/item/279310181935650/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Nissan altima 2.5 Sedan 4D,"Lafayette, IN",231K miles,"$3,200",/marketplace/item/458861016842510/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Kia optima,"Lafayette, IN",55K miles,$459,/marketplace/item/388303140890402/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Dodge dart sxt fwd,"Frankfort, IN",86K miles,"$9,680",/marketplace/item/1197606258038794/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Mazda cx-9 Touring Sport Utility 4D,"West Lafayette, IN",153K miles,"$5,900",/marketplace/item/1123796328723266/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Kia optima,"West Lafayette, IN",73K miles,"$14,900",/marketplace/item/876016794560444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Jeep compass Sport SUV 4D,"Lafayette, IN",87K miles · Dealership,"$11,900",/marketplace/item/1589361074970179/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Honda civic,"Frankfort, IN",150K miles,"$8,000",/marketplace/item/329933116771353/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Jeep cherokee Limited Sport Utility 4D,"Crawfordsville, IN",180K miles,"$4,750",/marketplace/item/775494278085399/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Nissan rogue S Sport Utility 4D,"Lafayette, IN",80K miles · Dealership,"$8,900",/marketplace/item/1567613503972040/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Honda civic Si Sedan 4D,"Lafayette, IN",130K miles,"$12,500",/marketplace/item/1500155584230014/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Honda accord Sport Sedan 4D,"Lafayette, IN",80K miles · Dealership,"$17,900",/marketplace/item/1661652911330451/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Kia rio LX Sedan 4D,"Warsaw, IN",155K miles,"$3,000",/marketplace/item/451450717819609/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Nissan altima $1000 down,"Lafayette, IN",77K miles,"$1,000",/marketplace/item/1748918542273340/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
