Model,Location,Miles,Prices,Link,Year,Scraped_On
 Lincoln mkz,"West Lafayette, IN",132K miles,"$10,151",/marketplace/item/983272496601583/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Audi a4 3.2 Quattro Sedan 4D,"Lafayette, IN",150K miles,"$2,500",/marketplace/item/443822141706529/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Chevrolet impala,"Lafayette, IN",Dealership,"$16,900",/marketplace/item/791686359530224/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Ford fusion,"Lafayette, IN",110K miles,"$1,000",/marketplace/item/384936127813214/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Chrysler 200,"Lafayette, IN",94K miles,"$1,000",/marketplace/item/1117649506050424/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Volkswagen jetta TDI SportWagen Sport Wagon 4D,"Fishers, IN",140K miles,"$3,000",/marketplace/item/405043149225042/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Ford fusion se fwd,"Indianapolis, IN",71K miles,"$15,000",/marketplace/item/957059332477371/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Subaru impreza WRX Limited Wagon 4D,"West Lafayette, IN",89K miles,"$18,000",/marketplace/item/1513047962767849/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Chevrolet blazer 1LT Sport Utility 4D,"Lafayette, IN",74K miles,$540,/marketplace/item/429899596319937/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Honda accord EX-L Sedan 4D,"Goshen, IN",17K miles,"$2,500",/marketplace/item/492069166701643/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Kia sorento L,"Logansport, IN",79K miles,"$14,895",/marketplace/item/993987782223060/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Ford f150 regular cab,"Lafayette, IN",154K miles,"$7,500",/marketplace/item/844428424235906/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Honda accord EX Sedan 4D,"Lafayette, IN",230K miles,"$1,000",/marketplace/item/1795165607640194/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2000,2024-07-02
 Chevrolet equinox LT Sport Utility 4D,"West Lafayette, IN",160K miles,"$3,500",/marketplace/item/3587866638130119/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Mazda mazda3,"Bainbridge, IN",205K miles,"$1,600",/marketplace/item/850796713604673/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2005,2024-07-02
 Chevrolet corvette Coupe 2D,"Colfax, IN",104K miles,"$7,000",/marketplace/item/3629604120685311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1995,2024-07-02
 Lincoln mkz,"Monticello, IN",65K miles,"$23,000",/marketplace/item/937024714601418/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chrysler 300s,"Indianapolis, IN",121K miles,"$8,999",/marketplace/item/851000200226097/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Ford fiesta,"Lebanon, IN",129K miles,"$2,000",/marketplace/item/1642512423178445/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Dodge charger SXT Sedan 4D,"Lafayette, IN",53K miles,"$15,900",/marketplace/item/735581688529005/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Dodge durango Citadel Sport Utility 4D,"Brownsburg, IN",36K miles,"$22,500",/marketplace/item/286261377770546/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 GMC terrain SLT Sport Utility 4D,"West Lafayette, IN",166K miles,"$3,300",/marketplace/item/2222371064773560/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Kia telluride fwd full loaded SX,"Lafayette, IN",132K miles · Dealership,"$22,900",/marketplace/item/1771033933371799/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Chevrolet equinox LT Sport Utility 4D,"Indianapolis, IN",72K miles,"$1,250",/marketplace/item/807884431460955/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Kia optima,"Kokomo, IN",79K miles,$800,/marketplace/item/3765030330484366/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet impala $1000 down,"Lafayette, IN",830K miles,"$1,000",/marketplace/item/374207298679093/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Chevrolet traverse LT Sport Utility 4D,"Lafayette, IN",83K miles · Dealership,"$19,900",/marketplace/item/7828326237210076/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Nissan pathfinder SL Sport Utility 4D,"Lafayette, IN",52K miles · Dealership,"$22,900",/marketplace/item/1410626949658182/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Lincoln continental,"Villa Park, IL",70K miles,"$2,500",/marketplace/item/446673384929108/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Infiniti q50 awd full luxury PREMIUM,"Lafayette, IN",68K miles · Dealership,"$21,900",/marketplace/item/439611321980124/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 MINI cooper,"Lebanon, IN",30K miles,"$17,815",/marketplace/item/1814133589073716/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet cruze $800 down,"Kokomo, IN",128K miles,$800,/marketplace/item/412731357983160/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Nissan sentra SV,"Lafayette, IN",99K miles,"$11,900",/marketplace/item/1060465385680950/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Jeep compass Latitude Sport Utility 4D,"Lafayette, IN",60K miles · Dealership,"$15,900",/marketplace/item/396249433350080/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Lexus ES 350 Sedan 4D,"Lafayette, IN",95K miles,"$8,000",/marketplace/item/997425584900388/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Dodge charger SXT Sedan 4D,"Lafayette, IN",90K miles · Dealership,"$14,900",/marketplace/item/25483274154649253/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Chrysler 200S Sedan 4D,"Mokena, IL",160K miles,"$5,400",/marketplace/item/1547677869495038/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet cruze,"Lebanon, IN",52K miles,"$13,997",/marketplace/item/1164093511384070/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Honda accord EX Sedan 4D,"Lafayette, IN",234K miles,"$4,950",/marketplace/item/1410517949573948/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Nissan altima,"Indianapolis, IN",207K miles,"$4,300",/marketplace/item/1145724349879091/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Nissan rogue,"Lafayette, IN",Dealership,"$19,900",/marketplace/item/441361378401721/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Chrysler,"Danville, IL",100K miles,"$10,995",/marketplace/item/482449320981584/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Kia gt,"Lafayette, IN",32K miles,"$20,900",/marketplace/item/345958271934471/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 BMW,"Brook, IN",124K miles,"$9,995",/marketplace/item/7684542408306442/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Ford escape SE Sport Utility 4D,"Lafayette, IN",118K miles,"$11,900",/marketplace/item/1140855170480743/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Dodge charger SXT Plus Sedan 4D,"Danville, IL",32K miles,"$24,000",/marketplace/item/1250120499289492/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Dodge caliber SXT Sport Wagon 4D,"Hobart, IN",116K miles,"$3,000",/marketplace/item/1159007138678123/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Chevrolet cruze 2lt auto,"Lafayette, IN",252K miles,"CA$1,899",/marketplace/item/463951652710072/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Dodge caliber SXT Sport Wagon 4D,"Peru, IN",118K miles,"$3,950",/marketplace/item/1144303943348685/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Lincoln town car,"Brookston, IN",79K miles,"$5,900",/marketplace/item/3441516539471112/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2000,2024-07-02
 Saab 9-3 2.0T,"Lafayette, IN",154K miles,"$2,800",/marketplace/item/1817439242395150/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Chrysler 300 s full luxury,"Lafayette, IN",78K miles · Dealership,"$14,500",/marketplace/item/1657187741799466/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Toyota venza Wagon 4D,"Brownsburg, IN",219K miles,"$5,000",/marketplace/item/436146816002980/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Ford taurus SEL,"Carmel, IN",69K miles,"$15,495",/marketplace/item/948528103334312/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 MINI cooper S Hatchback 2D,"Lafayette, IN",117K miles,"$5,000",/marketplace/item/24500686766246414/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Infiniti q50 awd full loaded PREMIUM,"Lafayette, IN",58K miles · Dealership,"$21,900",/marketplace/item/748797727321031/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Dodge charger,"Lafayette, IN",101K miles,"$17,000",/marketplace/item/1148094143152016/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Ford mustang Deluxe Convertible 2D,"Merrillville, IN",108K miles,"$6,500",/marketplace/item/996492022106299/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Mitsubishi eclipse GT Spyder Convertible 2D,"Danville, IL",105K miles,"$9,500",/marketplace/item/453511180422139/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2001,2024-07-02
 Subaru impreza WRX Premium Sedan 4D,"Thorntown, IN",118K miles · Dealership,"$4,495",/marketplace/item/1199069507766152/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Audi s4 Quattro Sedan 4D,"Carmel, IN",176K miles,"$7,000",/marketplace/item/777280174559330/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Volvo v40 Wagon 4D,"Lafayette, IN",137K miles,"$2,500",/marketplace/item/815914209725589/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2001,2024-07-02
 Chevrolet equinox LT Sport Utility 4D,"Delphi, IN",265K miles,"$3,500",/marketplace/item/1486423162004646/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Dodge avenger SXT Sedan 4D,"Crawfordsville, IN",106K miles,"$3,695",/marketplace/item/329785176838048/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Mercury grand marquis LS Sedan 4D,"Monticello, IN",66K miles,"$3,800",/marketplace/item/1698598567611971/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1991,2024-07-02
 BMW 1 series 128i Convertible 2D,"Merrillville, IN",129K miles,"$7,500",/marketplace/item/2348795291976827/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Pontiac g6 GT Hard Top Convertible 2D,"Watseka, IL",71K miles,"$10,900",/marketplace/item/1394290174612403/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Mercedes-Benz sl 550 convertible,"Lafayette, IN",53K miles,"$25,500",/marketplace/item/7624686880962209/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 MINI cooper S Hatchback 2D,"Lafayette, IN",190K miles,"$5,750",/marketplace/item/967305108734042/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Kia Soul,"Lebanon, IN",87K miles,"$11,500",/marketplace/item/891403121875204/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Chevrolet camaro RS Coupe 2D,"Lafayette, IN",90K miles,"$5,999",/marketplace/item/434388649571903/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1991,2024-07-02
 Chevrolet impala,"Danville, IL",124K miles,"$7,995",/marketplace/item/993185315784741/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Mercedes-Benz slk-class,"West Lafayette, IN",89K miles,"$10,900",/marketplace/item/481562981033607/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Dodge durango Limited Sport Utility 4D,"Kokomo, IN",147K miles · Dealership,"$12,900",/marketplace/item/1559286254649207/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Nissan altima,"Frankfort, IN",151K miles,"$4,500",/marketplace/item/369670552544726/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Chevrolet camaro SS Coupe 2D,"Lafayette, IN",54K miles,"$27,500",/marketplace/item/1633430494149026/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Honda civic,"Carmel, IN",166K miles,"$5,999",/marketplace/item/775739221411438/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Chrysler pacifica Touring L Plus Minivan 4D,"Rochester, IN",111K miles,"$15,500",/marketplace/item/985179709850821/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Nissan altima,"Mansfield, IL",106K miles,"$1,800",/marketplace/item/377459845313252/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2002,2024-07-02
 Dodge durango,"West Lafayette, IN",174K miles,"$9,995",/marketplace/item/1006834857211061/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Oldsmobile silhouette GL Extended Minivan,"Lafayette, IN",145K miles,"$2,600",/marketplace/item/1920955798289429/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1998,2024-07-02
 Hyundai sonata SE Sedan 4D,"Indianapolis, IN",97K miles,"$9,995",/marketplace/item/1192563501986146/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Volkswagen passat 1.8T SEL Premium Sedan 4D,"Lafayette, IN",108K miles,"$6,400",/marketplace/item/334240809374285/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Volkswagen jetta se,"Muncie, IN",69K miles,$59,/marketplace/item/1425505721431117/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Volkswagen passat TDI SEL Premium Sedan 4D,"Buffalo, IN",158K miles,"$8,000",/marketplace/item/7733276266749018/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet cruze Premier Sedan 4D,"Lafayette, IN",126K miles · Dealership,"$8,900",/marketplace/item/420784767501495/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Ford fusion S Sedan 4D,"Indianapolis, IN",130K miles,"$10,000",/marketplace/item/1275016853478553/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Nissan sentra SV Sedan 4D,"Lafayette, IN",40K miles,"$21,900",/marketplace/item/428958289965645/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Ford fusion,"Lafayette, IN",Dealership,"$12,900",/marketplace/item/810035680703151/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Kia soul,"Plainfield, IN",137K miles,"$5,500",/marketplace/item/1002106741119310/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Nissan sentra,"Lafayette, IN",96K miles,"$18,500",/marketplace/item/2140698779657896/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Honda civic se,"Plainfield, IN",105K miles,"$12,990",/marketplace/item/1407206323165511/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Toyota camry XLE Sedan 4D,"Greenwood, IN",162K miles,"$4,700",/marketplace/item/477911591309867/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2005,2024-07-02
 Toyota c-hr Limited Sport Utility 4D,"Rochester, IN",47K miles,"$24,750",/marketplace/item/845732253554280/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Honda civic lx,"Indianapolis, IN",212K miles,"$4,650",/marketplace/item/494547553235893/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Ford edge,"West Lafayette, IN",37K miles,"$21,900",/marketplace/item/1161459438401600/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Dodge journey SE,"Carmel, IN",122K miles,"$8,295",/marketplace/item/988552042900153/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Dodge caliber R/T Sport Wagon 4D,"Lafayette, IN",150K miles,"$3,400",/marketplace/item/437152412527265/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Audi a3 2.0T Wagon 4D,"Crawfordsville, IN",135K miles,"$3,900",/marketplace/item/1440049929960389/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Chrysler pt cruiser Sport Wagon 4D,"Kokomo, IN",108K miles,"$2,800",/marketplace/item/879004694263523/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2001,2024-07-02
 Ford escape se awd,"Frankfort, IN",3.2K miles,"$21,990",/marketplace/item/439895768919795/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Chrysler 200C Sedan 4D,"Lafayette, IN",131K miles,"$11,900",/marketplace/item/603425958584215/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Subaru impreza 2.5i Premium Sport Wagon 4D,"Chicago, IL",125K miles,"$6,000",/marketplace/item/838830894878306/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Lincoln town car Designer Sedan 4D,"South Bend, IN",65K miles,"$4,950",/marketplace/item/455578337243572/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1979,2024-07-02
 Kia soul,"Brook, IN",102K miles,"$7,995",/marketplace/item/778415031076443/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Ford focus,"Indianapolis, IN",148K miles,"$5,200",/marketplace/item/1521269311792064/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Chevrolet malibu LT Sedan 4D,"Lafayette, IN",180K miles,"$3,000",/marketplace/item/332811783208121/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
