,Model,Year,Miles,Location,Prices,Link,Scraped_On,Dealership
47, Honda civic 2008,2008.0,,"Lafayette, IN","$4,500",https://www.facebook.com//marketplace/item/1873252276421311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
52, Honda civic LX,2018.0,56000.0,"Lafayette, IN","$15,900",https://www.facebook.com//marketplace/item/1186717039244455/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
59, Toyota camry XLE Sedan 4D,2007.0,123000.0,"Frankfort, IN","$7,000",https://www.facebook.com//marketplace/item/464769099840620/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
67, Mazda rx-8 Sport,2004.0,81000.0,"Lafayette, IN","$5,235",https://www.facebook.com//marketplace/item/1843553282737848/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
69, Toyota highlander sport 2wd 2.4 great mpg!,2004.0,155000.0,"Lafayette, IN","$6,000",https://www.facebook.com//marketplace/item/468982632414331/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
79, Honda cr-v EX Sport Utility 4D,2003.0,174000.0,"Lafayette, IN","$3,450",https://www.facebook.com//marketplace/item/1232239954853077/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
80, Toyota camry LE Sedan 4D,2000.0,210000.0,"Watseka, IL","$1,100",https://www.facebook.com//marketplace/item/3989691931265314/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
85, Honda pilot Touring Sport Utility 4D,2011.0,130000.0,"Frankfort, IN","$11,500",https://www.facebook.com//marketplace/item/8196776020342155/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
94, Honda accord EX Sedan 4D,2006.0,176000.0,"Frankfort, IN","$4,900",https://www.facebook.com//marketplace/item/356275107456917/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
97, Honda accord Silver,2003.0,240000.0,"West Lafayette, IN","$3,000",https://www.facebook.com//marketplace/item/420903234152727/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
99, Toyota avalon XLS Sedan 4D,2002.0,200000.0,"Lafayette, IN","$3,200",https://www.facebook.com//marketplace/item/1419443598764336/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
100, Honda accord EX Sedan 4D,2006.0,245000.0,"Lafayette, IN","$3,000",https://www.facebook.com//marketplace/item/7667021366667345/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
101, Honda odyssey EX-L Minivan 4D,2013.0,174000.0,"Lafayette, IN","$7,650",https://www.facebook.com//marketplace/item/817980257030105/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
110, Honda civic EX Sedan 4D,2009.0,197000.0,"Lafayette, IN","$5,500",https://www.facebook.com//marketplace/item/1188291425533947/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
111, Toyota matrix S Sport Wagon 4D,2009.0,190000.0,"Demotte, IN","$3,200",https://www.facebook.com//marketplace/item/461701483469372/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
116, Honda accord EX Sedan 4D,2014.0,78000.0,"Lafayette, IN","$14,499",https://www.facebook.com//marketplace/item/1129737161415741/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
118, Mazda mazda6 i Touring Sedan 4D,2014.0,97000.0,"West Lafayette, IN",$394,https://www.facebook.com//marketplace/item/824950089052923/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
120, Honda civic LX Sedan 4D,2016.0,76000.0,"West Lafayette, IN",$395,https://www.facebook.com//marketplace/item/1134893714443109/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
121, Honda accord EX Sedan 4D,2023.0,300.0,"Lafayette, IN","$3,000",https://www.facebook.com//marketplace/item/1206822840769059/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
122, Honda civic LX Sedan 4D,2021.0,44000.0,"Lafayette, IN","$16,900",https://www.facebook.com//marketplace/item/416069297859207/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
123, Toyota corolla LE Sedan 4D,2010.0,312000.0,"Linden, IN","$4,000",https://www.facebook.com//marketplace/item/1943767522712053/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
125, Honda accord EX Sedan 4D,2013.0,104000.0,"Lafayette, IN","$10,999",https://www.facebook.com//marketplace/item/7856052991150840/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
129, Mazda mazda6,2014.0,97000.0,"West Lafayette, IN","$11,589",https://www.facebook.com//marketplace/item/810535534123171/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
139, Toyota avalon Limited Sedan 4D,2020.0,40000.0,"Lafayette, IN","$30,000",https://www.facebook.com//marketplace/item/436460032509887/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
